Customer_Age,Income_Category,Category_Count
45,"$60K - $80K",72
40,<$40k,130
40,"$60K - $80K",49
44,"$40K - $60K",78
32,"$60K - $80K",16
37,"$60K - $80K",37
42,"$120K +",18
35,"$60K - $80K",25
44,"$80K - $120K",71
41,"$80K - $120K",78
45,Unknown,54
41,"$40K - $60K",77
41,<$40k,112
44,Unknown,61
41,"$60K - $80K",56
42,<$40k,156
45,"$80K - $120K",65
38,Unknown,28
42,"$60K - $80K",71
39,"$60K - $80K",51
44,"$120K +",29
44,<$40k,180
42,"$80K - $120K",58
44,"$60K - $80K",81
37,<$40k,86
43,<$40k,168
45,"$40K - $60K",95
41,Unknown,30
43,"$40K - $60K",82
39,<$40k,108
40,"$80K - $120K",62
42,"$40K - $60K",82
43,"$80K - $120K",70
41,"$120K +",26
43,"$60K - $80K",79
39,"$80K - $120K",52
45,<$40k,175
45,"$120K +",25
40,"$40K - $60K",62
36,"$80K - $120K",31
43,Unknown,39
38,<$40k,106
36,Unknown,24
34,"$60K - $80K",20
43,"$120K +",35
36,"$40K - $60K",36
37,"$80K - $120K",40
39,"$40K - $60K",69
39,Unknown,35
38,"$60K - $80K",49
35,"$80K - $120K",27
42,Unknown,41
37,"$40K - $60K",59
34,"$80K - $120K",19
33,"$60K - $80K",16
31,"$40K - $60K",19
34,<$40k,50
35,Unknown,25
33,"$80K - $120K",19
37,Unknown,24
36,<$40k,80
38,"$80K - $120K",55
32,<$40k,39
33,<$40k,41
35,"$40K - $60K",30
40,"$120K +",24
35,<$40k,69
32,"$40K - $60K",26
31,<$40k,45
34,"$40K - $60K",30
33,Unknown,16
37,"$120K +",14
40,Unknown,34
36,"$60K - $80K",30
39,"$120K +",18
33,"$40K - $60K",26
36,"$120K +",20
38,"$40K - $60K",51
33,"$120K +",9
32,Unknown,13
32,"$80K - $120K",8
31,Unknown,13
34,"$120K +",10
35,"$120K +",8
31,"$60K - $80K",6
34,Unknown,17
32,"$120K +",4
38,"$120K +",14
31,"$80K - $120K",8
